Bug ID	Date	Sprint/Module	Title	Severity	Priority	Status	Kế hoạch	Environment	Steps to Reproduce	Expected	Actual	Root Cause Hint	Linked TC ID	Assignee	Reporter	Notes
BUG-FP-04	2026-07-21	Accounting / Fiscal	Fiscal close/reopen: BE API + FE hooks có nhưng không page nào gọi — kế toán không khóa/mở kỳ từ UI	Major	P1	Fixed	Đã xong	Static verify (FE code)	1. Grep useClosePeriod / useReopenPeriod trong packages/erp. 2. Mở AccountingSettingsPage — chỉ nút ensure năm. 3. Xác nhận không có màn periods close/reopen.	User đóng/reopen kỳ từ UI (Settings hoặc màn periods)	Hooks chỉ định nghĩa trong useAccounting.ts; 0 page consumer; Settings chỉ ensure year	Gap UI — thiếu wiring hooks vào page; guide khấu hao phụ thuộc kỳ đóng	FP-04	FE (+ BA confirm AC)	QA Frontend	Severity S2→Major. Block release nếu PO coi period close là P0 accounting.
NV-LNK01-02	2026-07-21	QLNS / Payroll	[Need Verify] calculate-all runtime — orchestrator không 500 cả batch	Major	P1	Need Verify	QA: verify trên môi trường chạy app	FE+BE runtime	1. Chạy FE+BE. 2. Data ≥2 NV (1 thiếu HĐ). 3. POST /qlns/payroll/calculate-all. 4. Kiểm HTTP 200 + skippedCount.	HTTP 200 summary; skip/error item; không 500 cả batch	Chưa gọi API thật trên env	Chờ retest PAY-01	LNK01-02	BE/QA	QA Frontend	Không phải confirmed bug — Blocked runtime.
NV-LNK02-06	2026-07-21	QLNS / Payroll	[Need Verify] UAT kỳ có ≥1 NV thiếu HĐ — skip UI + banner	Major	P1	Need Verify	QA: verify trên môi trường chạy app	UAT + data	1. Mở Payrolls. 2. Tính lương kỳ có NV thiếu HĐ ACTIVE. 3. Xem RESULT + banner.	skippedCount≥1; list person; UI warning amber + CTA HĐ	Chưa chạy app/data UAT	Cần data UAT	LNK02-06	QA	QA Frontend	Blocked — không Confirmed.
NV-LNK02-07	2026-07-21	QLNS / Payroll	[Need Verify] UAT all-skip — không success-only	Major	P1	Need Verify	QA: verify trên môi trường chạy app	UAT	1. Kỳ toàn NV thiếu HĐ. 2. calculate-all. 3. Kiểm title/hero/CTA; không toast success-only.	UI warning; CTA HĐ; không success-only	Chưa chạy app	Cần env	LNK02-07	QA	QA Frontend	Blocked.
NV-LNK03-07	2026-07-21	QLNS / Attendance	[Need Verify] UAT daily roster hôm nay	Major	P1	Need Verify	QA: verify trên môi trường chạy app	UAT ATT	1. HR mở /admin/attendance tab daily. 2. Filter/paging/refresh. 3. Đối chiếu NOT_CHECKED_IN / LATE.	Có checked + NOT_CHECKED_IN; LATE đúng; paging OK	Chưa UAT env	ATT-* chờ retest	LNK03-07	QA	QA Frontend	Blocked.
NV-LNK03-08	2026-07-21	QLNS / Attendance	[Need Verify] Check-in muộn → displayStatus LATE	Major	P1	Need Verify	QA: verify trên môi trường chạy app	Runtime chấm công	1. Check-in sau giờ. 2. Xem roster daily.	displayStatus=LATE (không luôn PRESENT)	Chưa runtime	Cần chấm công thật	LNK03-08	QA	QA Frontend	Blocked.
NV-LNK09-06	2026-07-21	Email	[Need Verify] Bulk send + MailHog :1025	Major	P1	Need Verify	QA: verify trên môi trường chạy app	MailHog + Activate	1. Activate MAILHOG_LOCAL. 2. Bulk send. 3. Kiểm MailHog UI.	200/queued; mail vào MailHog	Chưa chạy MailHog/env	MAIL-01 chờ retest	LNK09-06	QA	QA Frontend	Blocked.
NV-LNK09-07	2026-07-21	Email	[Need Verify] Activate UI E2E block↔unblock	Minor	P2	Need Verify	QA: verify trên môi trường chạy app	UI Email config	1. Deactivate. 2. Compose block. 3. Activate. 4. Compose mở.	Block ↔ unblock đúng	Chưa chạy UI	Cần env	LNK09-07	QA	QA Frontend	Blocked.
NV-DEP-05	2026-07-21	Assets / Depreciation	[Need Verify] Preview + post khấu hao → JE idempotent	Major	P2	Need Verify	QA: verify trên môi trường chạy app	Accounting env	1. Chọn tháng. 2. Xem trước. 3. Ghi sổ. 4. Chạy lại cùng kỳ.	Tổng đúng; JE tạo; không double	Chưa chạy accounting env	Cần lịch + quyền UPDATE	DEP-05	QA/FE	QA Frontend	Blocked.
NV-MOB-03	2026-07-21	Mobile / Attendance	[Need Verify] Mobile check-in muộn ↔ ERP daily LATE	Major	P2	Need Verify	QA: verify trên môi trường chạy app	Device/emulator + BE	1. Check-in mobile muộn. 2. Xem roster FE admin.	Đồng bộ LATE / NOT_CHECKED_IN	Chưa device/emulator	Cần mobile runtime	MOB-03	Mobile/QA	QA Frontend	Blocked.
